vignette_id,source,esi_gold_label,vignette_text
CH9_001,ESI Handbook v4 Ch.9,5,"""I was taking my contacts out last night, and I think I scratched my cornea,"" reports a 27-year-old female. ""I'm wearing these sunglasses because the light really bothers my eyes."" Her right eye is red and tearing. She rates her pain as 6/10. Vital signs are within normal limits."
CH9_002,ESI Handbook v4 Ch.9,1,"EMS presents to the ED with an 18-year-old female with a suspected medication overdose. Her college roommates found her lethargic and ""not acting right,"" so they called 911. The patient has a history of depression. On exam, you notice multiple superficial lacerations to both wrists. Her respiratory rate is 10, and her SpO2 on room air is 86 percent."
CH9_003,ESI Handbook v4 Ch.9,1,"EMS arrived with an unresponsive 19-year-old male with a single self-inflicted gunshot wound to the head. Prior to intubation, his Glasgow Coma Scale score was 3."
CH9_004,ESI Handbook v4 Ch.9,5,"""I ran out of my blood pressure medicine, and my doctor is on vacation. Can someone here write me a prescription?"" requests a 56-year-old male with a history of HTN. Vital signs: BP 128/84, HR 76, RR 16, T 97F."
CH9_005,ESI Handbook v4 Ch.9,3,"A 41-year-old male involved in a bicycle accident walks into the emergency department with his right arm in a sling. He tells you that he fell off his bike and landed on his right arm. He is complaining of pain in the wrist area and has a 2-centimeter laceration on his left elbow. ""My helmet saved me,"" he tells you."
CH9_006,ESI Handbook v4 Ch.9,2,"A 32-year-old female presents to the emergency department complaining of shortness of breath for several hours. No past medical history, +smoker. Vital signs: RR 32, HR 96, BP 126/80, SpO2 93% on room air, T 98.6F. No allergies, current medications include vitamins and birth control pills."
CH9_007,ESI Handbook v4 Ch.9,1,"""I just turned my back for a minute,"" cried the mother of a 4-year-old. The child was pulled out of the family pool by a neighbor who immediately administered mouth-to-mouth resuscitation. The child is now breathing spontaneously but continues to be unresponsive. On arrival in the ED, vital signs were: HR 126, RR 28, BP 80/64, SpO2 96% on a non-rebreather."
CH9_008,ESI Handbook v4 Ch.9,3,"A normal healthy 7-year-old walks into the emergency department accompanied by his father, who reports that his son woke up complaining of a stomach ache. ""He refused to walk downstairs and is not interested in eating or playing."" The child vomits at triage. Vital signs: T 100.4F, RR 22, HR 88, BP 84/60, SpO2 100%. Pain 6/10."
CH9_009,ESI Handbook v4 Ch.9,4,"A 6-year-old male tells you that he was running across the playground and fell. He presents with a 3-centimeter laceration over his right knee. Healthy, no medications and no allergies, immunizations are up to date."
CH9_010,ESI Handbook v4 Ch.9,4,"""I slipped on the ice, and I hurt my wrist,"" reports a 58-year-old female with a history of migraines. There is no obvious deformity. Vital signs are within normal limits, and she rates her pain as 5/10."
CH9_011,ESI Handbook v4 Ch.9,2,"A 4-year-old female is transported to the ED following a fall off the jungle gym at a preschool. A fall of 4 feet. A witness reports that the child hit her head and was unconscious for a couple of minutes. On arrival you notice that the child is crying and asking for her mother. Her left arm is splinted. Vital signs: HR 162, RR 38."
CH9_012,ESI Handbook v4 Ch.9,3,"A 60-year-old man requests to see a doctor because his right foot hurts. On exam the great toe and foot skin is red, warm, swollen, and tender to touch. He denies injury. Past medical history includes type 2 diabetes, and psoriasis. Vital signs: T 99.4F, RR 18, HR 82, BP 146/70, SpO2 99%."
CH9_013,ESI Handbook v4 Ch.9,4,"A 52-year-old female requests to see a doctor for a possible urinary tract infection (UTI). She is complaining of dysuria and frequency. She denies abdominal pain or vaginal discharge. No allergies, takes vitamins, and has no significant past medical history. Vital signs: T 97.4F, HR 78, RR 14, BP 142/70."
CH9_014,ESI Handbook v4 Ch.9,2,"""I called my pediatrician, and she told me to bring him in because of his fever,"" reports the mother of a 2-week-old. Vital signs: T 101F, HR 154, RR 42, SpO2 100%. Uncomplicated, vaginal delivery. The baby is acting appropriately."
CH9_015,ESI Handbook v4 Ch.9,3,"""My right breast is so sore, my nipples are cracked, and now I have a fever. Do you think I will have to stop nursing my baby?"" asks a tearful 34-year-old female. She is 3 months post partum and has recently returned to work part-time. Vital signs: T 102.8F, HR 90, RR 18, BP 108/60, pain 5/10. No past medical history, taking multivitamins, and is allergic to penicillin."
CH9_016,ESI Handbook v4 Ch.9,1,"Paramedics arrive with a 16-year-old unrestrained driver who hit a tree while traveling at approximately 45 miles per hour. The passenger side of the car had significant damage. The driver was moaning but moving all extremities when help arrived. His initial vital signs were BP 74/50, HR 132, RR 36, SpO2 99%, T 98.6F."
CH9_017,ESI Handbook v4 Ch.9,3,"EMS arrives with a 45-year-old woman with asthma who has had a cold for week. She started wheezing a few days ago and then developed a cough and a fever of 103. Vital signs: T 101.6F, HR 92, RR 24, BP 148/86, SpO2 97%."
CH9_018,ESI Handbook v4 Ch.9,5,"""I have an awful toothache right here,"" a 38-year-old male tells you as he points to his right lower jaw. ""I lost my dental insurance, so I haven't seen a dentist for a couple of years."" No obvious swelling is noted. Vital signs are within normal limits. Pain 9/10."
CH9_019,ESI Handbook v4 Ch.9,3,"""I think I have food poisoning,"" reports an otherwise healthy 33-year-old female. ""I have been vomiting all night, and now I have diarrhea."" The patient admits to abdominal cramping that she rates as 5/10. She denies fever or chills. Vital signs: T 96.8F, HR 96, RR 16, BP 116/74."
CH9_020,ESI Handbook v4 Ch.9,3,"""My migraine started early this morning, and I can't get it under control. I just keep vomiting. Can I lie down somewhere?"" asks a 37-year-old female. Past medical history migraines, no allergies. Pain 6/10, T 98F, RR 20, HR 102, BP 118/62, SpO2 98%."
CH9_021,ESI Handbook v4 Ch.9,4,"""I cut my finger trying to slice a bagel,"" reports a 28-year-old healthy male. A 2-centimeter laceration is noted on the left first finger. Bleeding is controlled. Vital signs are within normal limits. His last tetanus immunization was 10 years ago."
CH9_022,ESI Handbook v4 Ch.9,1,"""The smoke was so bad; I just couldn't breathe,"" reports a 26-year-old female who entered her burning apartment building to try to rescue her cat. She is hoarse and complaining of a sore throat and a cough. You notice that she is working hard at breathing. History of asthma; uses inhalers when needed. No known drug allergies. Vital signs: T 98F, RR 40, HR 114, BP 108/74."
CH9_023,ESI Handbook v4 Ch.9,3,"""I'm 7 weeks pregnant, and every time I try to eat something, I throw up,"" reports a 27-year-old female. ""My doctor sent me to the emergency department because he thinks I am getting dehydrated."" T 97F, RR 18, HR 104, BP 104/68, SpO2 99%. Pain 0/10. Lips are dry and cracked."
CH9_024,ESI Handbook v4 Ch.9,3,"""I have this aching pain in my left leg,"" reports an obese 52-year-old female. ""The whole ride home, it just ached and ached."" The patient tells you that she has been sitting in a car for the last 2 days. ""We drove my daughter to college, and I thought it was the heat getting to me."" She denies any other complaints. Vital signs: BP 148/90, HR 86, RR 16, T 98F."
CH9_025,ESI Handbook v4 Ch.9,2,"EMS arrives with an 87-year-old male who fell and hit his head. He is awake, alert, and oriented and remembers the fall. He has a past medical history of atrial fibrillation and is on multiple medications, including warfarin. His vital signs are within normal limits."
CH9_026,ESI Handbook v4 Ch.9,5,"""I have this rash in my groin area,"" reports a 20-year-old healthy male. ""I think it's jock rot, but I can't get rid of it."" Using over the counter spray, No known drug allergies. Vital Signs: T 98F, HR 58, RR 16, BP 112/70."
CH9_027,ESI Handbook v4 Ch.9,2,"EMS arrives with a 17-year-old restrained driver involved in a high-speed motor vehicle crash. The patient is immobilized on a backboard and is complaining of abdominal pain. He has multiple lacerations on his left arm. Vital signs prior to arrival: BP 102/60; HR 86, RR 28, SpO2 96%."
CH9_028,ESI Handbook v4 Ch.9,5,"""I just need another prescription for pain medication. I was here 10 days ago and ran out,"" a 27-year-old male tells you. ""I hurt my back at work, and it's still bothering me."" Denies numbness, tingling, or bladder or bowel issues. Vital signs are within normal limits. Pain 10+/10."
CH9_029,ESI Handbook v4 Ch.9,3,"EMS arrives with a 32-year-old female who fell off a stepladder while cleaning her first-floor gutters. She has an obvious open fracture of her right lower leg. She has +2 pedal pulse. Her toes are warm, and she is able to wiggle them. Denies past medical history medications, or allergies. Vital signs are within normal limits for her age."
CH9_030,ESI Handbook v4 Ch.9,1,The medical helicopter is en route to your facility with a 16-year-old male who was downhill skiing and hit a tree. Bystanders report that he lost control and hit his head. He was intubated at the scene and remains unresponsive.
CH9_031,ESI Handbook v4 Ch.9,3,"A healthy middle-aged man presents to the emergency department with his left hand wrapped in a bloody cloth. ""I was using my table saw, and my hand slipped. I think I lost a couple of fingertips."" No past medical history, no meds or allergies. Vital signs are within normal limits. Pain 6/10."
CH9_032,ESI Handbook v4 Ch.9,3,"A 27-year-old female wants to be checked by a doctor. She has been experiencing low abdominal pain (6/10) for about 4 days. This morning, she began spotting. She denies nausea, vomiting, diarrhea, or urinary symptoms. Her last menstrual period was 7 weeks ago. Past medical history: previous ectopic pregnancy. Vital signs: T 98F, HR 66, RR 14, BP 106/68."
